task_id	name	status	exit	realtime	peak_vmem	peak_rss	memory	submit	complete
42	assign_grnas (39)	CACHED	0	7m 20s	1.2 GB	472.6 MB	4 GB	2024-04-24 13:31:10.905	2024-04-24 13:38:37.425
47	assign_grnas (44)	CACHED	0	6m 49s	1.2 GB	469.7 MB	4 GB	2024-04-24 13:31:26.500	2024-04-24 13:38:17.473
46	assign_grnas (43)	CACHED	0	6m 49s	1.2 GB	475 MB	4 GB	2024-04-24 13:31:21.350	2024-04-24 13:38:17.464
45	assign_grnas (42)	CACHED	0	7m 23s	1.2 GB	471.5 MB	4 GB	2024-04-24 13:31:18.727	2024-04-24 13:38:47.421
48	assign_grnas (45)	CACHED	0	6m 48s	1.2 GB	470.6 MB	4 GB	2024-04-24 13:31:23.853	2024-04-24 13:38:17.469
49	assign_grnas (46)	CACHED	0	6m 49s	1.2 GB	470.7 MB	4 GB	2024-04-24 13:31:39.102	2024-04-24 13:38:32.443
51	assign_grnas (48)	CACHED	0	6m 50s	1.2 GB	470.8 MB	4 GB	2024-04-24 13:31:31.708	2024-04-24 13:38:27.439
50	assign_grnas (47)	CACHED	0	6m 53s	1.2 GB	467.6 MB	4 GB	2024-04-24 13:31:29.083	2024-04-24 13:38:27.434
53	assign_grnas (50)	CACHED	0	7m 2s	1.2 GB	471.6 MB	4 GB	2024-04-24 13:31:36.532	2024-04-24 13:38:42.429
54	assign_grnas (51)	CACHED	0	6m 55s	1.2 GB	468.9 MB	4 GB	2024-04-24 13:31:41.686	2024-04-24 13:38:42.433
52	assign_grnas (49)	CACHED	0	6m 47s	1.2 GB	469.2 MB	4 GB	2024-04-24 13:31:34.109	2024-04-24 13:38:27.444
55	assign_grnas (52)	CACHED	0	6m 57s	1.2 GB	473.1 MB	4 GB	2024-04-24 13:31:44.207	2024-04-24 13:38:47.428
56	combine_assign_grnas	CACHED	0	34.3s	1.5 GB	611.8 MB	4 GB	2024-04-24 13:38:50.040	2024-04-24 13:39:27.425
57	run_qc	COMPLETED	0	2m 50s	1.2 GB	546.1 MB	8 GB	2024-04-24 13:51:11.551	2024-04-24 13:54:07.740
58	prepare_association_analysis	COMPLETED	0	2m 29s	1.1 GB	446.5 MB	4 GB	2024-04-24 13:54:10.374	2024-04-24 13:56:42.750
88	run_analysis_subworkflow_calibration_check:run_association_analysis (29)	COMPLETED	0	9m 10s	1.6 GB	901.9 MB	4 GB	2024-04-24 13:58:02.667	2024-04-24 14:07:17.816
89	run_analysis_subworkflow_calibration_check:run_association_analysis (30)	COMPLETED	0	9m 6s	1.6 GB	903.4 MB	4 GB	2024-04-24 13:58:05.455	2024-04-24 14:07:17.850
90	run_analysis_subworkflow_calibration_check:run_association_analysis (31)	COMPLETED	0	9m 10s	1.7 GB	905.1 MB	4 GB	2024-04-24 13:58:08.199	2024-04-24 14:07:22.815
64	run_analysis_subworkflow_calibration_check:run_association_analysis (5)	COMPLETED	0	10m 39s	1.6 GB	902.4 MB	4 GB	2024-04-24 13:56:57.362	2024-04-24 14:07:37.792
92	run_analysis_subworkflow_calibration_check:run_association_analysis (33)	COMPLETED	0	9m 23s	1.7 GB	910 MB	4 GB	2024-04-24 13:58:13.448	2024-04-24 14:07:37.853
61	run_analysis_subworkflow_calibration_check:run_association_analysis (2)	COMPLETED	0	10m 52s	1.6 GB	900.2 MB	4 GB	2024-04-24 13:56:49.105	2024-04-24 14:07:42.790
63	run_analysis_subworkflow_calibration_check:run_association_analysis (4)	COMPLETED	0	10m 48s	1.6 GB	900.9 MB	4 GB	2024-04-24 13:56:51.846	2024-04-24 14:07:42.824
91	run_analysis_subworkflow_calibration_check:run_association_analysis (32)	COMPLETED	0	9m 26s	1.6 GB	900.5 MB	4 GB	2024-04-24 13:58:10.816	2024-04-24 14:07:42.909
59	run_analysis_subworkflow_calibration_check:run_association_analysis (1)	COMPLETED	0	10m 58s	1.6 GB	900.2 MB	4 GB	2024-04-24 13:56:46.185	2024-04-24 14:07:47.789
62	run_analysis_subworkflow_calibration_check:run_association_analysis (3)	COMPLETED	0	10m 51s	1.6 GB	902.4 MB	4 GB	2024-04-24 13:56:54.603	2024-04-24 14:07:47.822
66	run_analysis_subworkflow_calibration_check:run_association_analysis (7)	COMPLETED	0	10m 43s	1.7 GB	909.3 MB	4 GB	2024-04-24 13:57:02.707	2024-04-24 14:07:47.858
68	run_analysis_subworkflow_calibration_check:run_association_analysis (9)	COMPLETED	0	10m 35s	1.7 GB	909.3 MB	4 GB	2024-04-24 13:57:08.207	2024-04-24 14:07:47.894
67	run_analysis_subworkflow_calibration_check:run_association_analysis (8)	COMPLETED	0	10m 45s	1.6 GB	903.4 MB	4 GB	2024-04-24 13:57:05.418	2024-04-24 14:07:52.789
69	run_analysis_subworkflow_calibration_check:run_association_analysis (10)	COMPLETED	0	10m 38s	1.7 GB	904.9 MB	4 GB	2024-04-24 13:57:10.884	2024-04-24 14:07:52.823
70	run_analysis_subworkflow_calibration_check:run_association_analysis (11)	COMPLETED	0	10m 38s	1.6 GB	903.1 MB	4 GB	2024-04-24 13:57:13.650	2024-04-24 14:07:52.862
72	run_analysis_subworkflow_calibration_check:run_association_analysis (13)	COMPLETED	0	10m 36s	1.7 GB	908.7 MB	4 GB	2024-04-24 13:57:19.065	2024-04-24 14:07:57.790
65	run_analysis_subworkflow_calibration_check:run_association_analysis (6)	COMPLETED	0	11m 1s	1.6 GB	903.8 MB	4 GB	2024-04-24 13:56:59.951	2024-04-24 14:08:02.791
71	run_analysis_subworkflow_calibration_check:run_association_analysis (12)	COMPLETED	0	10m 48s	1.7 GB	915.8 MB	4 GB	2024-04-24 13:57:16.323	2024-04-24 14:08:07.789
73	run_analysis_subworkflow_calibration_check:run_association_analysis (14)	COMPLETED	0	10m 58s	1.6 GB	897 MB	4 GB	2024-04-24 13:57:21.800	2024-04-24 14:08:22.790
75	run_analysis_subworkflow_calibration_check:run_association_analysis (16)	COMPLETED	0	11m 6s	1.7 GB	911.5 MB	4 GB	2024-04-24 13:57:27.179	2024-04-24 14:08:37.791
74	run_analysis_subworkflow_calibration_check:run_association_analysis (15)	COMPLETED	0	11m 12s	1.6 GB	901.9 MB	4 GB	2024-04-24 13:57:24.495	2024-04-24 14:08:42.790
77	run_analysis_subworkflow_calibration_check:run_association_analysis (18)	COMPLETED	0	11m 9s	1.7 GB	906.5 MB	4 GB	2024-04-24 13:57:32.625	2024-04-24 14:08:47.791
81	run_analysis_subworkflow_calibration_check:run_association_analysis (22)	COMPLETED	0	11m 3s	1.7 GB	905.8 MB	4 GB	2024-04-24 13:57:43.660	2024-04-24 14:08:52.794
76	run_analysis_subworkflow_calibration_check:run_association_analysis (17)	COMPLETED	0	11m 23s	1.6 GB	894.9 MB	4 GB	2024-04-24 13:57:29.846	2024-04-24 14:08:57.791
78	run_analysis_subworkflow_calibration_check:run_association_analysis (19)	COMPLETED	0	11m 19s	1.7 GB	920.4 MB	4 GB	2024-04-24 13:57:35.374	2024-04-24 14:08:57.826
79	run_analysis_subworkflow_calibration_check:run_association_analysis (20)	COMPLETED	0	11m 14s	1.7 GB	908.2 MB	4 GB	2024-04-24 13:57:38.112	2024-04-24 14:08:57.860
80	run_analysis_subworkflow_calibration_check:run_association_analysis (21)	COMPLETED	0	11m 11s	1.6 GB	902 MB	4 GB	2024-04-24 13:57:40.947	2024-04-24 14:08:57.894
82	run_analysis_subworkflow_calibration_check:run_association_analysis (23)	COMPLETED	0	11m 8s	1.6 GB	897.1 MB	4 GB	2024-04-24 13:57:46.283	2024-04-24 14:08:57.929
83	run_analysis_subworkflow_calibration_check:run_association_analysis (24)	COMPLETED	0	11m 3s	1.7 GB	906 MB	4 GB	2024-04-24 13:57:49.038	2024-04-24 14:08:57.964
84	run_analysis_subworkflow_calibration_check:run_association_analysis (25)	COMPLETED	0	11m 10s	1.6 GB	894.5 MB	4 GB	2024-04-24 13:57:51.798	2024-04-24 14:09:07.792
86	run_analysis_subworkflow_calibration_check:run_association_analysis (27)	COMPLETED	0	11m 8s	1.6 GB	905 MB	4 GB	2024-04-24 13:57:57.297	2024-04-24 14:09:07.828
85	run_analysis_subworkflow_calibration_check:run_association_analysis (26)	COMPLETED	0	11m 12s	1.7 GB	909 MB	4 GB	2024-04-24 13:57:54.558	2024-04-24 14:09:12.791
