task_id	name	status	exit	realtime	peak_rss	submit	start	complete
51	assign_grnas (48)	COMPLETED	0	7m 56s	470.6 MB	2024-04-25 01:34:54.227	2024-04-25 01:43:08.166	2024-04-25 01:51:03.167
42	assign_grnas (39)	COMPLETED	0	8m 4s	474 MB	2024-04-25 01:34:47.498	2024-04-25 01:43:03.184	2024-04-25 01:51:08.160
48	assign_grnas (45)	COMPLETED	0	8m	474.9 MB	2024-04-25 01:34:52.021	2024-04-25 01:43:08.164	2024-04-25 01:51:08.165
41	assign_grnas (38)	COMPLETED	0	7m 57s	472.9 MB	2024-04-25 01:34:56.441	2024-04-25 01:43:08.168	2024-04-25 01:51:08.169
50	assign_grnas (47)	COMPLETED	0	7m 55s	471.3 MB	2024-04-25 01:35:05.388	2024-04-25 01:43:18.265	2024-04-25 01:51:18.257
44	assign_grnas (41)	COMPLETED	0	7m 52s	471.1 MB	2024-04-25 01:35:07.583	2024-04-25 01:43:28.192	2024-04-25 01:51:18.261
54	assign_grnas (51)	COMPLETED	0	8m 8s	471.7 MB	2024-04-25 01:34:58.614	2024-04-25 01:43:13.167	2024-04-25 01:51:23.160
37	assign_grnas (34)	COMPLETED	0	8m 1s	477.1 MB	2024-04-25 01:35:03.042	2024-04-25 01:43:18.264	2024-04-25 01:51:23.166
40	assign_grnas (37)	COMPLETED	0	7m 52s	469.1 MB	2024-04-25 01:35:11.982	2024-04-25 01:43:33.168	2024-04-25 01:51:23.171
53	assign_grnas (50)	COMPLETED	0	8m 12s	470.1 MB	2024-04-25 01:35:00.845	2024-04-25 01:43:13.169	2024-04-25 01:51:28.160
43	assign_grnas (40)	COMPLETED	0	7m 54s	474.8 MB	2024-04-25 01:35:09.809	2024-04-25 01:43:33.167	2024-04-25 01:51:28.165
49	assign_grnas (46)	COMPLETED	0	7m 51s	475.3 MB	2024-04-25 01:35:16.490	2024-04-25 01:43:38.172	2024-04-25 01:51:28.170
52	assign_grnas (49)	COMPLETED	0	7m 50s	476.3 MB	2024-04-25 01:35:18.715	2024-04-25 01:43:43.196	2024-04-25 01:51:33.168
55	assign_grnas (52)	COMPLETED	0	8m 3s	470.4 MB	2024-04-25 01:35:14.275	2024-04-25 01:43:38.170	2024-04-25 01:51:38.164
56	combine_assign_grnas	COMPLETED	0	32.8s	605.1 MB	2024-04-25 01:51:41.503	2024-04-25 01:51:43.161	2024-04-25 01:52:18.166
57	run_qc_trans	COMPLETED	0	17.3s	532.3 MB	2024-04-25 01:52:20.386	2024-04-25 01:52:23.165	2024-04-25 01:52:43.164
58	prepare_association_analysis_trans	COMPLETED	0	3.2s	266.2 MB	2024-04-25 01:52:45.378	2024-04-25 01:52:48.163	2024-04-25 01:52:53.164
73	run_discovery_analysis_trans (15)	COMPLETED	0	3h 10m 13s	1.6 GB	2024-04-25 01:53:25.791	2024-04-25 01:53:28.165	2024-04-25 05:03:41.697
78	run_discovery_analysis_trans (20)	COMPLETED	0	3h 10m 39s	1.6 GB	2024-04-25 01:59:50.515	2024-04-25 01:59:51.994	2024-04-25 05:10:31.883
83	run_discovery_analysis_trans (25)	COMPLETED	0	3h 12m 36s	1.5 GB	2024-04-25 01:59:16.849	2024-04-25 01:59:20.814	2024-04-25 05:11:57.547
77	run_discovery_analysis_trans (19)	COMPLETED	0	3h 10m 22s	1.5 GB	2024-04-25 02:02:42.413	2024-04-25 02:02:44.487	2024-04-25 05:13:08.292
72	run_discovery_analysis_trans (14)	COMPLETED	0	3h 14m 1s	1.6 GB	2024-04-25 02:00:24.700	2024-04-25 02:00:28.482	2024-04-25 05:14:28.922
69	run_discovery_analysis_trans (11)	COMPLETED	0	3h 12m 11s	1.5 GB	2024-04-25 02:02:08.128	2024-04-25 02:02:12.928	2024-04-25 05:14:39.253
